US_Coastline ,RSL_contribution,Offset_1992_2000,Offset_2000_2005,RSL2005,RSL2020 ,RSL2030,RSL2040 ,RSL2050,RSL2060,RSL2070,RSL2080,RSL2090,RSL2100,RSL2110,RSL2120,RSL2130,RSL2140,RSL2150,Scenario
1,-0.009,2,2,0,9,12,16,20,25,29,32,36,42,46,50,55,59,64,2
1,0.011,2,2,0,9,12,17,21,25,30,34,38,44,48,53,57,61,66,2
1,0.009,2,2,0,9,13,17,21,25,30,33,38,43,48,53,57,61,66,2
1,0.066,2,2,0,9,14,19,23,28,33,38,43,49,54,59,64,69,74,2
1,0.116,2,2,0,10,15,20,25,31,37,42,47,53,59,64,70,75,81,2
1,0.127,2,2,0,10,15,21,26,32,37,42,48,54,60,66,71,77,82,2
1,-0.036,2,2,0,6,11,15,18,22,26,30,34,40,45,49,53,57,62,2
1,-0.006,2,2,0,8,14,18,23,27,32,36,40,45,49,54,59,63,68,2
1,-0.013,2,2,0,8,12,15,20,24,28,31,35,46,50,55,60,65,70,2
1,0.145,2,2,0,10,16,21,26,32,37,42,48,55,61,66,72,77,83,2
1,0.016,2,2,0,7,12,16,20,24,29,33,37,43,48,53,57,62,66,2
1,0.02,2,2,0,9,13,17,21,26,31,34,38,48,53,58,63,68,73,2
1,0.061,3,2,0,12,20,28,36,42,47,51,56,61,66,72,77,83,87,2
1,0.074,3,2,0,12,20,28,37,43,48,52,57,62,68,73,79,85,90,2
1,0.083,3,2,0,12,20,29,37,43,48,53,58,64,69,75,81,86,92,2
1,0.028,3,2,0,11,19,27,35,41,45,49,53,58,63,68,74,79,84,2
1,0.109,3,2,0,13,21,30,38,45,50,55,60,66,72,78,84,90,96,2
1,0.14,3,2,0,13,22,31,40,47,52,57,63,69,76,82,88,95,101,2
1,0.173,3,2,0,13,23,32,41,49,55,60,66,73,79,86,93,100,106,2
1,0.127,3,2,0,13,22,31,39,46,52,56,62,68,74,80,86,93,99,2
1,0.091,3,2,0,12,21,29,37,44,49,54,59,64,70,76,82,88,94,2
1,0.125,3,2,0,13,22,31,39,46,52,56,61,67,74,80,86,92,98,2
1,0.115,3,2,0,12,21,30,38,45,50,55,60,66,72,79,85,91,96,2
1,0.17,3,2,0,14,23,32,42,49,55,60,65,72,79,85,92,98,105,2
1,0.158,3,2,0,13,22,31,40,47,53,58,64,70,77,84,90,97,103,2
1,0.124,3,2,0,12,22,30,38,45,51,56,61,67,73,79,86,92,97,2
1,0.151,3,2,0,13,22,31,40,47,52,58,63,69,76,82,89,95,101,2
1,0.171,3,2,0,13,23,32,40,48,54,59,64,71,78,85,91,98,104,2
1,0.238,3,2,0,14,24,34,44,51,58,64,70,78,85,93,100,107,114,2
1,0.241,3,2,0,14,25,34,44,51,58,64,70,78,86,93,100,107,114,2
1,0.225,3,2,0,14,24,34,43,50,56,62,68,76,84,91,99,106,113,2
1,0.149,3,2,0,12,22,31,39,46,52,57,62,69,76,82,88,95,100,2
1,0.161,3,2,0,13,23,32,40,47,53,58,63,70,77,83,90,96,102,2
1,0.202,3,2,0,13,24,33,42,49,55,61,66,74,82,89,96,103,109,2
1,0.254,3,2,0,14,25,35,44,52,59,65,70,79,87,95,102,110,117,2
1,0.201,3,2,0,13,24,33,42,49,55,61,66,74,81,89,95,102,109,2
1,0.181,3,2,0,13,23,32,41,48,54,59,64,72,79,86,92,99,105,2
1,0.167,3,2,0,13,23,32,40,47,53,58,63,71,78,84,91,97,104,2
1,0.199,3,2,0,13,24,33,42,49,55,61,66,74,81,88,95,102,108,2
1,0.222,3,2,0,14,25,34,43,51,57,63,68,76,84,91,98,105,112,2
1,0.172,3,2,0,13,23,32,41,48,53,59,64,71,78,85,91,98,104,2
1,0.209,3,2,0,14,24,34,42,50,56,62,67,75,82,90,97,103,110,2
1,0.264,3,2,0,14,26,35,44,53,60,66,72,80,88,96,104,111,119,2
1,0.285,3,2,0,15,26,36,45,54,61,67,73,82,90,98,105,113,121,2
1,0.266,3,2,0,14,26,35,44,52,59,65,71,80,88,96,103,111,118,2
1,0.261,3,2,0,14,26,35,44,52,59,65,71,80,88,96,103,110,118,2
1,0.23,3,2,0,14,25,34,43,50,57,63,68,76,84,91,98,106,113,2
1,0.239,3,2,0,14,25,34,43,50,57,62,68,76,84,91,98,105,112,2
1,0.208,3,2,0,13,23,31,40,47,52,57,62,69,76,83,89,95,102,2
1,0.164,3,2,0,12,21,29,37,43,49,53,58,64,71,77,83,89,94,2
1,0.104,3,2,0,11,20,27,34,40,45,48,52,59,65,70,76,81,86,2
1,0.105,3,2,0,11,19,26,33,39,44,48,51,58,64,70,75,80,86,2
1,0.165,3,2,0,11,20,28,35,42,48,52,56,64,71,77,83,89,95,2
1,0.17,3,2,0,11,20,28,35,42,48,52,57,64,71,77,83,89,95,2
1,0.079,3,2,0,10,17,24,31,37,42,45,49,55,60,66,71,76,81,2
1,0.092,3,2,0,10,18,25,31,37,42,46,50,56,62,67,72,77,83,2
1,0.092,3,2,0,10,18,25,31,37,42,46,50,56,62,67,72,77,83,2
1,0.077,3,2,0,10,17,23,30,36,41,44,48,54,59,65,70,75,80,2
1,0.106,3,2,0,10,17,23,29,36,40,44,49,55,61,66,71,77,82,2
1,0.104,3,2,0,10,17,24,30,36,41,45,49,55,61,66,71,76,82,2
1,0.089,3,2,0,10,17,23,29,34,39,43,47,53,58,63,68,74,79,2
1,0.074,3,2,0,10,17,23,30,35,40,44,48,53,58,63,68,73,78,2
1,0.084,3,2,0,10,17,23,30,35,40,44,48,54,59,64,69,75,80,2
1,0.118,3,2,0,11,18,25,31,37,42,46,51,57,63,68,74,79,85,2
1,0.117,3,2,0,11,18,25,31,38,42,47,51,57,63,68,74,79,85,2
1,0.061,3,2,0,10,17,23,29,35,39,42,46,52,57,62,67,72,77,2
1,0.045,3,2,0,10,17,22,28,34,37,41,44,50,55,60,65,70,74,2
1,0.041,3,2,0,10,16,22,28,33,37,40,43,50,55,59,64,69,73,2
1,0.081,3,2,0,10,17,23,29,35,39,43,47,53,58,63,68,73,78,2
1,0.177,3,2,0,12,20,27,34,41,46,50,55,62,68,74,80,86,92,2
1,0.32,3,2,0,14,23,32,40,48,55,61,67,76,83,91,98,106,113,2
1,0.723,5,4,0,20,33,46,59,70,81,91,102,114,125,137,148,160,171,2
1,0.42,5,4,0,15,25,35,45,54,61,68,75,84,92,100,109,117,126,2
1,0.502,5,4,0,16,27,38,48,58,67,75,82,92,101,110,119,128,137,2
1,0.507,5,4,0,16,28,38,49,58,67,75,83,92,101,110,119,129,138,2
1,0.628,5,4,0,18,30,42,54,65,75,84,93,103,114,124,134,145,155,2
1,0.431,5,4,0,15,25,35,45,54,62,69,76,84,93,101,109,118,126,2
1,0.322,5,4,0,13,23,32,40,48,55,61,67,74,81,88,95,103,110,2
1,0.226,5,4,0,12,21,28,36,42,48,53,58,64,71,77,83,89,96,2
1,0.052,1,1,0,7,11,15,19,22,26,30,33,37,41,45,49,53,56,2
1,0.033,1,1,0,6,10,14,18,21,25,28,32,35,39,42,46,50,54,2
1,-0.07,1,1,0,5,8,11,13,15,18,21,23,26,28,31,34,37,39,2
1,-0.024,1,1,0,6,9,12,15,18,21,24,27,30,33,36,39,43,46,2
1,-0.106,1,1,0,5,7,10,12,14,16,18,20,23,25,28,30,33,35,2
1,-0.08,1,1,0,5,8,10,12,15,18,20,22,25,27,30,32,35,38,2
1,-0.028,1,1,0,5,9,12,15,18,21,24,26,30,33,37,40,43,47,2
1,0.024,1,1,0,6,10,14,17,21,25,28,31,36,40,43,47,51,55,2
1,0.048,1,1,0,7,11,15,18,22,26,29,33,37,41,45,49,53,57,2
1,-0.074,1,1,0,5,8,11,13,15,18,20,23,26,29,31,34,37,40,2
1,0.025,1,1,0,6,10,14,17,21,25,28,32,37,41,44,48,52,56,2
1,0.053,1,1,0,6,11,15,18,22,26,29,33,38,41,45,49,53,57,2
1,-0.062,1,1,0,5,8,11,14,16,20,22,25,29,32,35,38,42,45,2
1,0.25,1,1,0,10,16,22,28,33,40,46,52,59,65,72,78,84,91,2
1,-0.242,1,1,0,2,3,5,5,6,8,9,10,12,14,15,16,18,19,2
1,-0.119,1,1,0,4,6,9,11,13,16,18,20,24,27,29,32,34,37,2
